Subzone,Population,subzone
Ang Mo Kio Town Centre,2260,ANG MO KIO TOWN CENTRE
Cheng San,13480,CHENG SAN
Chong Boon,12860,CHONG BOON
Kebun Bahru,10660,KEBUN BAHRU
Sembawang Hills,3210,SEMBAWANG HILLS
Shangri0La,7780,SHANGRI0LA
Tagore,3790,TAGORE
Townsville,9930,TOWNSVILLE
Yio Chu Kang,undefined,YIO CHU KANG
Yio Chu Kang East,2090,YIO CHU KANG EAST
Yio Chu Kang North,undefined,YIO CHU KANG NORTH
Yio Chu Kang West,11520,YIO CHU KANG WEST
Total,134210,TOTAL
Bayshore,3580,BAYSHORE
Bedok North,39700,BEDOK NORTH
Bedok Reservoir,12480,BEDOK RESERVOIR
Bedok South,22540,BEDOK SOUTH
Frankel,16260,FRANKEL
Kaki Bukit,18210,KAKI BUKIT
Kembangan,18460,KEMBANGAN
Siglap,2980,SIGLAP
Total,42260,TOTAL
Bishan East,13420,BISHAN EAST
Marymount,14680,MARYMOUNT
Upper Thomson,14160,UPPER THOMSON
Total,undefined,TOTAL
Liu Fang,undefined,LIU FANG
Samulun,undefined,SAMULUN
Shipyard,undefined,SHIPYARD
Tukang,undefined,TUKANG
Total,77480,TOTAL
Brickworks,9800,BRICKWORKS
Bukit Batok Central,13290,BUKIT BATOK CENTRAL
Bukit Batok East,6290,BUKIT BATOK EAST
Bukit Batok South,7360,BUKIT BATOK SOUTH
Bukit Batok West,7300,BUKIT BATOK WEST
Gombak,4840,GOMBAK
Guilin,6290,GUILIN
Hillview,9290,HILLVIEW
Hong Kah North,13030,HONG KAH NORTH
Total,72730,TOTAL
Alexandra Hill,6630,ALEXANDRA HILL
Alexandra North,1230,ALEXANDRA NORTH
Bukit Ho Swee,7050,BUKIT HO SWEE
Bukit Merah,550,BUKIT MERAH
City Terminals,undefined,CITY TERMINALS
Depot Road,3090,DEPOT ROAD
Everton Park,3680,EVERTON PARK
Henderson Hill,6490,HENDERSON HILL
Kampong Tiong Bahru,4440,KAMPONG TIONG BAHRU
Maritime Square,1770,MARITIME SQUARE
Redhill,5150,REDHILL
Singapore General Hospital,undefined,SINGAPORE GENERAL HOSPITAL
Telok Blangah Drive,9170,TELOK BLANGAH DRIVE
Telok Blangah Rise,5740,TELOK BLANGAH RISE
Telok Blangah Way,4610,TELOK BLANGAH WAY
Tiong Bahru,5990,TIONG BAHRU
Tiong Bahru Station,7140,TIONG BAHRU STATION
Total,68150,TOTAL
Bangkit,11010,BANGKIT
Dairy Farm,3350,DAIRY FARM
Fajar,13870,FAJAR
Jelebu,15370,JELEBU
Nature Reserve,1810,NATURE RESERVE
Saujana,12830,SAUJANA
Senja,9920,SENJA
Total,35980,TOTAL
Anak Bukit,10370,ANAK BUKIT
Coronation Road,3050,CORONATION ROAD
Farrer Court,2900,FARRER COURT
Hillcrest,4170,HILLCREST
Holland Road,4800,HOLLAND ROAD
Leedon Park,2960,LEEDON PARK
Swiss Club,2470,SWISS CLUB
Ulu Pandan,5280,ULU PANDAN
Total,undefined,TOTAL
Central Water Catchment,undefined,CENTRAL WATER CATCHMENT
Total,960,TOTAL
Changi Airport,undefined,CHANGI AIRPORT
Changi Point,300,CHANGI POINT
Changi West,660,CHANGI WEST
Total,undefined,TOTAL
Changi Bay,undefined,CHANGI BAY
Total,95690,TOTAL
Choa Chu Kang Central,11180,CHOA CHU KANG CENTRAL
Choa Chu Kang North,15860,CHOA CHU KANG NORTH
Keat Hong,19010,KEAT HONG
Peng Siang,17340,PENG SIANG
Teck Whye,12190,TECK WHYE
Yew Tee,20100,YEW TEE
Total,43630,TOTAL
Clementi Central,6600,CLEMENTI CENTRAL
Clementi North,13400,CLEMENTI NORTH
Clementi West,7310,CLEMENTI WEST
Clementi Woods,7660,CLEMENTI WOODS
Faber,2620,FABER
Pandan,undefined,PANDAN
Sunset Way,2640,SUNSET WAY
Toh Tuck,undefined,TOH TUCK
West Coast,3370,WEST COAST
Total,1590,TOTAL
Anson,undefined,ANSON
Bayfront Subzone,undefined,BAYFRONT SUBZONE
Bugis,440,BUGIS
Cecil,130,CECIL
Central Subzone,410,CENTRAL SUBZONE
City Hall,undefined,CITY HALL
Clifford Pier,undefined,CLIFFORD PIER
Marina Centre,undefined,MARINA CENTRE
Maxwell,undefined,MAXWELL
Nicoll,150,NICOLL
Phillip,undefined,PHILLIP
Raffles Place,undefined,RAFFLES PLACE
Tanjong Pagar,350,TANJONG PAGAR
Total,54260,TOTAL
Aljunied,19740,ALJUNIED
Geylang East,14540,GEYLANG EAST
Kallang Way,undefined,KALLANG WAY
Kampong Ubi,5890,KAMPONG UBI
Macpherson,14070,MACPHERSON
Total,111490,TOTAL
Defu Industrial Park,undefined,DEFU INDUSTRIAL PARK
Hougang Central,2350,HOUGANG CENTRAL
Hougang East,12110,HOUGANG EAST
Hougang West,22410,HOUGANG WEST
Kangkar,15740,KANGKAR
Kovan,11960,KOVAN
Lorong Ah Soo,15270,LORONG AH SOO
Lorong Halus,undefined,LORONG HALUS
Tai Seng,6670,TAI SENG
Trafalgar,24950,TRAFALGAR
Total,38930,TOTAL
International Business Park,undefined,INTERNATIONAL BUSINESS PARK
Jurong Gateway,210,JURONG GATEWAY
Jurong Port,undefined,JURONG PORT
Jurong River,undefined,JURONG RIVER
Lakeside (Business),undefined,LAKESIDE (BUSINESS)
Lakeside (Leisure),570,LAKESIDE (LEISURE)
Penjuru Crescent,undefined,PENJURU CRESCENT
Teban Gardens,9250,TEBAN GARDENS
Toh Guan,7230,TOH GUAN
Yuhua East,12120,YUHUA EAST
Yuhua West,9530,YUHUA WEST
Total,131900,TOTAL
Boon Lay Place,15060,BOON LAY PLACE
Chin Bee,undefined,CHIN BEE
Hong Kah,26650,HONG KAH
Jurong West Central,31810,JURONG WEST CENTRAL
Kian Teck,undefined,KIAN TECK
Safti,undefined,SAFTI
Taman Jurong,19920,TAMAN JURONG
Wenya,4170,WENYA
Yunundefined,34250,YUNUNDEFINED
Total,50040,TOTAL
Bendemeer,18240,BENDEMEER
Boon Keng,5630,BOON KENG
Crawford,4630,CRAWFORD
Geylang Bahru,5620,GEYLANG BAHRU
Kallang Bahru,undefined,KALLANG BAHRU
Kampong Bugis,460,KAMPONG BUGIS
Kampong Java,5140,KAMPONG JAVA
Lavender,5070,LAVENDER
Tanjong Rhu,5230,TANJONG RHU
Total,60,TOTAL
Lim Chu Kang,60,LIM CHU KANG
Total,990,TOTAL
Mandai East,undefined,MANDAI EAST
Mandai Estate,990,MANDAI ESTATE
Mandai West,undefined,MANDAI WEST
Total,undefined,TOTAL
Marina East,undefined,MARINA EAST
Total,undefined,TOTAL
Marina South,undefined,MARINA SOUTH
Total,21700,TOTAL
East Coast,undefined,EAST COAST
Katong,4440,KATONG
Marina East (Mp),undefined,MARINA EAST (MP)
Marine Parade,12530,MARINE PARADE
Mountbatten,4720,MOUNTBATTEN
Total,260,TOTAL
Bras Basah,undefined,BRAS BASAH
Dhoby Ghaut,160,DHOBY GHAUT
Fort Canning,90,FORT CANNING
Total,3950,TOTAL
Cairnhill,1830,CAIRNHILL
Goodwood Park,600,GOODWOOD PARK
Istana Negara,undefined,ISTANA NEGARA
Monk's Hill,520,MONK'S HILL
Newton Circus,140,NEWTON CIRCUS
Orange Grove,840,ORANGE GROVE
Total,undefined,TOTAL
North0Eastern Islands,undefined,NORTH0EASTERN ISLANDS
Total,23930,TOTAL
Balestier,15670,BALESTIER
Dunearn,1800,DUNEARN
Malcolm,1380,MALCOLM
Moulmein,4720,MOULMEIN
Mount Pleasant,350,MOUNT PLEASANT
Total,430,TOTAL
Boulevard,210,BOULEVARD
Somerset,60,SOMERSET
Tanglin,170,TANGLIN
Total,9210,TOTAL
China Square,670,CHINA SQUARE
Chinatown,5040,CHINATOWN
Pearl's Hill,3370,PEARL'S HILL
People's Park,140,PEOPLE'S PARK
Total,72540,TOTAL
Flora Drive,7200,FLORA DRIVE
Loyang East,1060,LOYANG EAST
Loyang West,100,LOYANG WEST
Pasir Ris Central,15750,PASIR RIS CENTRAL
Pasir Ris Drive,26940,PASIR RIS DRIVE
Pasir Ris Park,3760,PASIR RIS PARK
Pasir Ris Wafer Fab Park,undefined,PASIR RIS WAFER FAB PARK
Pasir Ris West,17720,PASIR RIS WEST
Total,undefined,TOTAL
Airport Road,undefined,AIRPORT ROAD
Paya Lebar East,undefined,PAYA LEBAR EAST
Paya Lebar North,undefined,PAYA LEBAR NORTH
Paya Lebar West,undefined,PAYA LEBAR WEST
Plab,undefined,PLAB
Total,undefined,TOTAL
Benoi Sector,undefined,BENOI SECTOR
Gul Basin,undefined,GUL BASIN
Gul Circle,undefined,GUL CIRCLE
Joo Koon,undefined,JOO KOON
Pioneer Sector,undefined,PIONEER SECTOR
Total,85940,TOTAL
Coney Island,undefined,CONEY ISLAND
Matilda,25610,MATILDA
Northshore,230,NORTHSHORE
Punggol Canal,undefined,PUNGGOL CANAL
Punggol Field,24120,PUNGGOL FIELD
Punggol Town Centre,10920,PUNGGOL TOWN CENTRE
Waterway East,25050,WATERWAY EAST
Total,45120,TOTAL
Commonwealth,3230,COMMONWEALTH
Dover,5260,DOVER
Ghim Moh,6470,GHIM MOH
Holland Drive,5760,HOLLAND DRIVE
Kent Ridge,undefined,KENT RIDGE
Margaret Drive,7710,MARGARET DRIVE
Mei Chin,7350,MEI CHIN
National University Of S'pore,70,NATIONAL UNIVERSITY OF S'PORE
One North,350,ONE NORTH
Pasir Panjang 1,2200,PASIR PANJANG 1
Pasir Panjang 2,1490,PASIR PANJANG 2
Port,60,PORT
Queensway,130,QUEENSWAY
Singapore Polytechnic,undefined,SINGAPORE POLYTECHNIC
Tanglin Halt,4960,TANGLIN HALT
Total,4620,TOTAL
Institution Hill,1500,INSTITUTION HILL
Leonie Hill,1430,LEONIE HILL
One Tree Hill,910,ONE TREE HILL
Oxley,670,OXLEY
Paterson,110,PATERSON
Total,6530,TOTAL
Bencoolen,620,BENCOOLEN
Farrer Park,1350,FARRER PARK
Kampong Glam,80,KAMPONG GLAM
Little India,1680,LITTLE INDIA
Mackenzie,60,MACKENZIE
Mount Emily,770,MOUNT EMILY
Rochor Canal,undefined,ROCHOR CANAL
Selegie,110,SELEGIE
Sungei Road,1020,SUNGEI ROAD
Victoria,840,VICTORIA
Total,140,TOTAL
Pulau Punggol Barat,undefined,PULAU PUNGGOL BARAT
Pulau Punggol Timor,undefined,PULAU PUNGGOL TIMOR
Seletar,130,SELETAR
Seletar Aerospace Park,undefined,SELETAR AEROSPACE PARK
Total,50710,TOTAL
Admiralty,6860,ADMIRALTY
Sembawang Central,17060,SEMBAWANG CENTRAL
Sembawang East,8550,SEMBAWANG EAST
Sembawang North,12750,SEMBAWANG NORTH
Sembawang Springs,4480,SEMBAWANG SPRINGS
Sembawang Straits,980,SEMBAWANG STRAITS
Senoko North,undefined,SENOKO NORTH
Senoko South,undefined,SENOKO SOUTH
The Wharves,undefined,THE WHARVES
Total,122480,TOTAL
Anchorvale,23700,ANCHORVALE
Compassvale,10170,COMPASSVALE
Fernvale,28860,FERNVALE
Lorong Halus North,undefined,LORONG HALUS NORTH
Rivervale,29460,RIVERVALE
Sengkang Town Centre,30290,SENGKANG TOWN CENTRE
Sengkang West,undefined,SENGKANG WEST
Total,56370,TOTAL
Lorong Chuan,4090,LORONG CHUAN
Seletar Hills,7250,SELETAR HILLS
Serangoon Central,11800,SERANGOON CENTRAL
Serangoon Garden,17220,SERANGOON GARDEN
Serangoon North,7840,SERANGOON NORTH
Serangoon North Ind Estate,undefined,SERANGOON NORTH IND ESTATE
Upper Paya Lebar,8160,UPPER PAYA LEBAR
Total,undefined,TOTAL
Pulau Seletar,undefined,PULAU SELETAR
Simpang North,undefined,SIMPANG NORTH
Simpang South,undefined,SIMPANG SOUTH
Tanjong Irau,undefined,TANJONG IRAU
Total,1540,TOTAL
Boat Quay,70,BOAT QUAY
Clarke Quay,70,CLARKE QUAY
Robertson Quay,1390,ROBERTSON QUAY
Total,920,TOTAL
Sentosa,920,SENTOSA
Southern Group,undefined,SOUTHERN GROUP
Total,undefined,TOTAL
Straits View,undefined,STRAITS VIEW
Total,380,TOTAL
Gali Batu,undefined,GALI BATU
Kranji,undefined,KRANJI
Pang Sua,undefined,PANG SUA
Reservoir View,undefined,RESERVOIR VIEW
Turf Club,330,TURF CLUB
Total,127000,TOTAL
Simei,19050,SIMEI
Tampines East,63960,TAMPINES EAST
Tampines North,3950,TAMPINES NORTH
Tampines West,39150,TAMPINES WEST
Xilin,890,XILIN
Total,10100,TOTAL
Chatsworth,3190,CHATSWORTH
Nassim,4410,NASSIM
Ridout,690,RIDOUT
Tyersall,1810,TYERSALL
Total,undefined,TOTAL
Brickland,undefined,BRICKLAND
Forest Hill,undefined,FOREST HILL
Garden,undefined,GARDEN
Park,undefined,PARK
Plantation,undefined,PLANTATION
Tengah Industrial Estate,undefined,TENGAH INDUSTRIAL ESTATE
Total,57890,TOTAL
Bidadari,undefined,BIDADARI
Boon Teck,7210,BOON TECK
Braddell,4590,BRADDELL
Joo Seng,4030,JOO SENG
Kim Keat,3840,KIM KEAT
Lorong 8 Toa Payoh,3420,LORONG 8 TOA PAYOH
Pei Chun,4940,PEI CHUN
Potong Pasir,5660,POTONG PASIR
Sennett,3480,SENNETT
Toa Payoh Central,12960,TOA PAYOH CENTRAL
Toa Payoh West,6570,TOA PAYOH WEST
Woodleigh,1200,WOODLEIGH
Total,undefined,TOTAL
Tengeh,undefined,TENGEH
Tuas Bay,undefined,TUAS BAY
Tuas North,undefined,TUAS NORTH
Tuas Promenade,undefined,TUAS PROMENADE
Tuas View,undefined,TUAS VIEW
Tuas View Extension,undefined,TUAS VIEW EXTENSION
Total,undefined,TOTAL
Jurong Island And Bukom,undefined,JURONG ISLAND AND BUKOM
Semakau,undefined,SEMAKAU
Sudong,undefined,SUDONG
Total,290,TOTAL
Bahar,undefined,BAHAR
Cleantech,undefined,CLEANTECH
Murai,290,MURAI
Total,127990,TOTAL
Greenwood Park,undefined,GREENWOOD PARK
Midview,17660,MIDVIEW
North Coast,6130,NORTH COAST
Senoko West,undefined,SENOKO WEST
Woodgrove,16870,WOODGROVE
Woodlands East,49490,WOODLANDS EAST
Woodlands Regional Centre,undefined,WOODLANDS REGIONAL CENTRE
Woodlands South,20540,WOODLANDS SOUTH
Woodlands West,17260,WOODLANDS WEST
Total,109470,TOTAL
Khatib,4980,KHATIB
Lower Seletar,9240,LOWER SELETAR
Nee Soon,440,NEE SOON
Northland,13930,NORTHLAND
Springleaf,2180,SPRINGLEAF
Yishun Central,1290,YISHUN CENTRAL
Yishun East,30030,YISHUN EAST
Yishun South,20670,YISHUN SOUTH
Yishun West,26720,YISHUN WEST
